Book-Title,Book-Author,Year-Of-Publication,Book-Rating,Image-URL-L
The Eyes of Darkness,Dean R. Koontz,1996,0,http://images.amazon.com/images/P/0425153975.01.LZZZZZZZ.jpg
Red Dragon,Thomas Harris,2000,0,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
Absolute Power,David Baldacci,1996,0,http://images.amazon.com/images/P/0446603589.01.LZZZZZZZ.jpg
The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,6,http://images.amazon.com/images/P/1558745157.01.LZZZZZZZ.jpg
Puerto Vallarta Squeeze,Robert James Waller,1995,0,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg
Different Seasons,Stephen King,1983,0,http://images.amazon.com/images/P/0451124340.01.LZZZZZZZ.jpg
A Widow for One Year,JOHN IRVING,2001,8,http://images.amazon.com/images/P/034543479X.01.LZZZZZZZ.jpg
Tuck Everlasting,Natalie Babbitt,1985,8,http://images.amazon.com/images/P/0374480095.01.LZZZZZZZ.jpg
Thousand Acres,JANE SMILEY,1996,7,http://images.amazon.com/images/P/0804115761.01.LZZZZZZZ.jpg
Gap Creek: The Story Of A Marriage,Robert Morgan,2000,0,http://images.amazon.com/images/P/0743203631.01.LZZZZZZZ.jpg
Island of the Blue Dolphins,SCOTT O'DELL,1971,0,http://images.amazon.com/images/P/0440439884.01.LZZZZZZZ.jpg
P Is for Peril,Sue Grafton,2002,0,http://images.amazon.com/images/P/0449003795.01.LZZZZZZZ.jpg
Legal Tender,Lisa Scottoline,1997,8,http://images.amazon.com/images/P/0061094129.01.LZZZZZZZ.jpg
Blindsighted,Karin Slaughter,2002,8,http://images.amazon.com/images/P/0380820889.01.LZZZZZZZ.jpg
Gone For Good,HARLAN COBEN,2002,9,http://images.amazon.com/images/P/038533558X.01.LZZZZZZZ.jpg
The Maze,Catherine Coulter,1997,8,http://images.amazon.com/images/P/0399142649.01.LZZZZZZZ.jpg
The Crush,Sandra Brown,2002,8,http://images.amazon.com/images/P/0446527041.01.LZZZZZZZ.jpg
The Red Room,Nicci French,2002,0,http://images.amazon.com/images/P/0446611379.01.LZZZZZZZ.jpg
The Hammer of Eden: A Novel,Ken Follett,1999,3,http://images.amazon.com/images/P/0449227545.01.LZZZZZZZ.jpg
Impulse,Catherine Coulter,2001,8,http://images.amazon.com/images/P/0451204301.01.LZZZZZZZ.jpg
Dead Sleep,Greg Iles,2002,8,http://images.amazon.com/images/P/0451206525.01.LZZZZZZZ.jpg
Carolina Moon,Nora Roberts,2001,8,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg
A Traitor to Memory,Elizabeth George,2002,6,http://images.amazon.com/images/P/0553582364.01.LZZZZZZZ.jpg
MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,8,http://images.amazon.com/images/P/0684810387.01.LZZZZZZZ.jpg
Summer Island,KRISTIN HANNAH,2002,0,http://images.amazon.com/images/P/0345441133.01.LZZZZZZZ.jpg
A Day Late and a Dollar Short,Terry McMillan,2002,0,http://images.amazon.com/images/P/0451204948.01.LZZZZZZZ.jpg
Guilty as Sin,TAMI HOAG,1997,7,http://images.amazon.com/images/P/0553564528.01.LZZZZZZZ.jpg
Anthem,Ayn Rand,1999,7,http://images.amazon.com/images/P/0452281253.01.LZZZZZZZ.jpg
The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,7,http://images.amazon.com/images/P/044900371X.01.LZZZZZZZ.jpg
The Shining,Stephen King,1997,8,http://images.amazon.com/images/P/0451160916.01.LZZZZZZZ.jpg
Secret History,DONNA TARTT,1993,0,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,9,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,0,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
The Wedding,Julie Garwood,1996,8,http://images.amazon.com/images/P/0671870998.01.LZZZZZZZ.jpg
About a Boy,Nick Hornby,1998,0,http://images.amazon.com/images/P/1573220876.01.LZZZZZZZ.jpg
September,Rosamunde Pilcher,1991,0,http://images.amazon.com/images/P/0312924801.01.LZZZZZZZ.jpg
Lone Eagle,Danielle Steel,2002,7,http://images.amazon.com/images/P/0440236665.01.LZZZZZZZ.jpg
Home Song,Lavyrle Spencer,1995,6,http://images.amazon.com/images/P/0515118230.01.LZZZZZZZ.jpg
Chasing the Dime,Michael Connelly,2003,9,http://images.amazon.com/images/P/044661162X.01.LZZZZZZZ.jpg
Blackout,John J. Nance,2001,0,http://images.amazon.com/images/P/0515130125.01.LZZZZZZZ.jpg
House of Sand and Fog,Andre Dubus III,2000,10,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg
Five Quarters of the Orange,Joanne Harris,2002,8,http://images.amazon.com/images/P/0060958022.01.LZZZZZZZ.jpg
The Thief of Always,Clive Barker,2002,0,http://images.amazon.com/images/P/0064409945.01.LZZZZZZZ.jpg
Little Drummer Girl,John Lecarre,0,0,http://images.amazon.com/images/P/0330282565.01.LZZZZZZZ.jpg
Interview with the Vampire,Anne Rice,1993,7,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
Downtown,Norma Fox Mazer,1991,0,http://images.amazon.com/images/P/0380885344.01.LZZZZZZZ.jpg
Weep No More My Lady,Mary Higgins Clark,1993,0,http://images.amazon.com/images/P/0440200989.01.LZZZZZZZ.jpg
Mirror Image,Danielle Steel,1999,0,http://images.amazon.com/images/P/0440224772.01.LZZZZZZZ.jpg
Tara Road,Maeve Binchy,2000,0,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg
Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,8,http://images.amazon.com/images/P/0440940001.01.LZZZZZZZ.jpg
The Guardian,Nicholas Sparks,2003,0,http://images.amazon.com/images/P/0446527793.01.LZZZZZZZ.jpg
Message in a Bottle,Nicholas Sparks,1999,7,http://images.amazon.com/images/P/0446606812.01.LZZZZZZZ.jpg
Cause Celeb,Helen Fielding,2001,4,http://images.amazon.com/images/P/0670894508.01.LZZZZZZZ.jpg
Life Support,Tess Gerritsen,1998,0,http://images.amazon.com/images/P/0671553046.01.LZZZZZZZ.jpg
Let Me Call You Sweetheart,Mary Higgins Clark,1996,0,http://images.amazon.com/images/P/0671568175.01.LZZZZZZZ.jpg
While My Pretty One Sleeps,Mary Higgins Clark,1990,0,http://images.amazon.com/images/P/0671673688.01.LZZZZZZZ.jpg
The Anastasia Syndrome,Mary Higgins Clark,1991,0,http://images.amazon.com/images/P/0671701231.01.LZZZZZZZ.jpg
Remember Me,Mary Higgins Clark,1995,0,http://images.amazon.com/images/P/0671867091.01.LZZZZZZZ.jpg
Spring Moon: A Novel of China,Bette Lord,1981,0,http://images.amazon.com/images/P/0060148934.01.LZZZZZZZ.jpg
Lily White,Susan Isaacs,1996,0,http://images.amazon.com/images/P/0060176075.01.LZZZZZZZ.jpg
"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,0,http://images.amazon.com/images/P/0373243286.01.LZZZZZZZ.jpg
Alias Grace : A Novel,Margaret Atwood,1997,0,http://images.amazon.com/images/P/0385490445.01.LZZZZZZZ.jpg
Second Nature,Alice Hoffman,1994,0,http://images.amazon.com/images/P/0399139087.01.LZZZZZZZ.jpg
The Last Precinct,Patricia Daniels Cornwell,2000,0,http://images.amazon.com/images/P/0399146253.01.LZZZZZZZ.jpg
The Jury,Steve Martini,2001,0,http://images.amazon.com/images/P/0399146725.01.LZZZZZZZ.jpg
Isle of Dogs,Patricia Daniels Cornwell,2001,0,http://images.amazon.com/images/P/039914739X.01.LZZZZZZZ.jpg
Flashback,Nevada Barr,2003,0,http://images.amazon.com/images/P/0399149759.01.LZZZZZZZ.jpg
Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,0,http://images.amazon.com/images/P/0399150897.01.LZZZZZZZ.jpg
Fatherhood,Bill Cosby,1994,0,http://images.amazon.com/images/P/0425097722.01.LZZZZZZZ.jpg
Debt of Honor (Jack Ryan Novels),Tom Clancy,1997,0,http://images.amazon.com/images/P/0425147584.01.LZZZZZZZ.jpg
One True Thing,Anna Quindlen,1995,0,http://images.amazon.com/images/P/044022103X.01.LZZZZZZZ.jpg
The Simple Truth,David Baldacci,1998,0,http://images.amazon.com/images/P/0446523321.01.LZZZZZZZ.jpg
Four Blind Mice,James Patterson,2003,0,http://images.amazon.com/images/P/0446613266.01.LZZZZZZZ.jpg
Born in Shame,Nora Roberts,1996,0,http://images.amazon.com/images/P/051511779X.01.LZZZZZZZ.jpg
Claws and Effect,RITA MAE BROWN,2002,0,http://images.amazon.com/images/P/0553580906.01.LZZZZZZZ.jpg
Dark Horse,TAMI HOAG,2002,0,http://images.amazon.com/images/P/0553801929.01.LZZZZZZZ.jpg
Empty Promises,Ann Rule,2000,0,http://images.amazon.com/images/P/0671025333.01.LZZZZZZZ.jpg
Protect and Defend,Richard North Patterson,2000,0,http://images.amazon.com/images/P/0679450440.01.LZZZZZZZ.jpg
STONES FROM THE RIVER,Ursula Hegi,1997,0,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg
Dr. Atkins' New Diet Revolution,"Robert C., Md. Atkins",1994,0,http://images.amazon.com/images/P/087131763X.01.LZZZZZZZ.jpg
The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,0,http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg
Dead Run,Erica Spindler,2003,0,http://images.amazon.com/images/P/1551666839.01.LZZZZZZZ.jpg
1984,George Orwell,1990,0,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
Evening Class,Maeve Binchy,1997,5,http://images.amazon.com/images/P/0385318073.01.LZZZZZZZ.jpg
Drums of Autumn,DIANA GABALDON,1997,8,http://images.amazon.com/images/P/044022425X.01.LZZZZZZZ.jpg
The Sky Is Falling,Sidney Sheldon,2000,7,http://images.amazon.com/images/P/0060198346.01.LZZZZZZZ.jpg
Icy Sparks,Gwyn Hyman Rubio,2001,4,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
The Associate,Phillip Margolin,2002,0,http://images.amazon.com/images/P/0061030643.01.LZZZZZZZ.jpg
Eden Close,Anita Shreve,1998,8,http://images.amazon.com/images/P/0156005891.01.LZZZZZZZ.jpg
The Prometheus Deception,Robert Ludlum,2001,0,http://images.amazon.com/images/P/0312978367.01.LZZZZZZZ.jpg
And Then There Were None : A Novel,Agatha Christie,2001,0,http://images.amazon.com/images/P/0312979479.01.LZZZZZZZ.jpg
Cat and Mouse,James Patterson,1997,0,http://images.amazon.com/images/P/0316693294.01.LZZZZZZZ.jpg
Masquerade,William X. Kienzle,1991,0,http://images.amazon.com/images/P/0345366204.01.LZZZZZZZ.jpg
Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,0,http://images.amazon.com/images/P/0345439104.01.LZZZZZZZ.jpg
Engaging The Enemy,Nora Roberts,2003,7,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg
Irish Hearts,Nora Roberts,2000,7,http://images.amazon.com/images/P/0373484003.01.LZZZZZZZ.jpg
Red Storm Rising,Tom Clancy,1997,0,http://images.amazon.com/images/P/042510107X.01.LZZZZZZZ.jpg
The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,0,http://images.amazon.com/images/P/0425180964.01.LZZZZZZZ.jpg
Echoes,Maeve Binchy,1989,4,http://images.amazon.com/images/P/0440122090.01.LZZZZZZZ.jpg
This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,9,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,0,http://images.amazon.com/images/P/0440237300.01.LZZZZZZZ.jpg
Nothing Lasts Forever,Sidney Sheldon,1995,0,http://images.amazon.com/images/P/0446354732.01.LZZZZZZZ.jpg
Eye of the Beholder,Daniel Hayes,1998,0,http://images.amazon.com/images/P/0449002357.01.LZZZZZZZ.jpg
The Cater Street Hangman,Anne Perry,1990,0,http://images.amazon.com/images/P/0449208672.01.LZZZZZZZ.jpg
Honest Illusions,Nora Roberts,1995,0,http://images.amazon.com/images/P/0515110973.01.LZZZZZZZ.jpg
Then Came Heaven,LaVyrle Spencer,1999,8,http://images.amazon.com/images/P/0515124621.01.LZZZZZZZ.jpg
The Penwyth Curse,Catherine Coulter,2004,0,http://images.amazon.com/images/P/0515134368.01.LZZZZZZZ.jpg
The Postman (Bantam Classics),David Brin,1990,0,http://images.amazon.com/images/P/0553278746.01.LZZZZZZZ.jpg
Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994,0,http://images.amazon.com/images/P/0553569031.01.LZZZZZZZ.jpg
Awakening,Jude Deveraux,1988,7,http://images.amazon.com/images/P/0671644459.01.LZZZZZZZ.jpg
Smart Women,Judy Blume,1990,0,http://images.amazon.com/images/P/0671727583.01.LZZZZZZZ.jpg
Temptation,Jude Deveraux,2001,6,http://images.amazon.com/images/P/0743410181.01.LZZZZZZZ.jpg
16 Lighthouse Road,Debbie Macomber,2001,0,http://images.amazon.com/images/P/1551668300.01.LZZZZZZZ.jpg
204 Rosewood Lane,Debbie Macomber,2002,0,http://images.amazon.com/images/P/1551669293.01.LZZZZZZZ.jpg
Mutant Message Down Under,Marlo Morgan,1995,8,http://images.amazon.com/images/P/0060926317.01.LZZZZZZZ.jpg
Coastliners : A Novel,Joanne Harris,2003,7,http://images.amazon.com/images/P/0060958014.01.LZZZZZZZ.jpg
"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000,5,http://images.amazon.com/images/P/0140280553.01.LZZZZZZZ.jpg
East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,2000,7,http://images.amazon.com/images/P/0156011042.01.LZZZZZZZ.jpg
The Magic Circle,Katherine Neville,1999,9,http://images.amazon.com/images/P/0345423135.01.LZZZZZZZ.jpg
"Truly, Madly Manhattan",Nora Roberts,2003,0,http://images.amazon.com/images/P/0373218036.01.LZZZZZZZ.jpg
Amsterdam : A Novel,IAN MCEWAN,1999,0,http://images.amazon.com/images/P/0385494246.01.LZZZZZZZ.jpg
Bee Season: A Novel,Myla Goldberg,2001,4,http://images.amazon.com/images/P/0385498802.01.LZZZZZZZ.jpg
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,0,http://images.amazon.com/images/P/0425152251.01.LZZZZZZZ.jpg
Cold Sassy Tree,Olive Ann Burns,1992,9,http://images.amazon.com/images/P/0440212723.01.LZZZZZZZ.jpg
Quentins,Maeve Binchy,2003,5,http://images.amazon.com/images/P/0451209907.01.LZZZZZZZ.jpg
Possessing the Secret of Joy,Alice Walker,1993,0,http://images.amazon.com/images/P/0671789422.01.LZZZZZZZ.jpg
"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000,9,http://images.amazon.com/images/P/0688177859.01.LZZZZZZZ.jpg
Peace Like a River,Leif Enger,2002,6,http://images.amazon.com/images/P/0802139256.01.LZZZZZZZ.jpg
Prime Cut,Diane Mott Davidson,2000,7,http://images.amazon.com/images/P/0553574671.01.LZZZZZZZ.jpg
At Home in Mitford (The Mitford Years),Jan Karon,1996,2,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
Fast Women,Jennifer Crusie,2001,4,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
The Long Road Home,DANIELLE STEEL,1998,9,http://images.amazon.com/images/P/0385319568.01.LZZZZZZZ.jpg
Looking Back,Belva Plain,2001,10,http://images.amazon.com/images/P/0385334710.01.LZZZZZZZ.jpg
The Absence of Nectar,Kathy Hepinstall,2001,3,http://images.amazon.com/images/P/0399148019.01.LZZZZZZZ.jpg
Standoff,Sandra Brown,2000,1,http://images.amazon.com/images/P/0446527017.01.LZZZZZZZ.jpg
Envy,Sandra Brown,2001,8,http://images.amazon.com/images/P/0446527130.01.LZZZZZZZ.jpg
Wish You Well,David Baldacci,2000,0,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
The Good Earth (Enriched Classics),Pearl S. Buck,1994,10,http://images.amazon.com/images/P/0671510126.01.LZZZZZZZ.jpg
YOU BELONG TO ME,Mary Higgins Clark,1998,0,http://images.amazon.com/images/P/0684835959.01.LZZZZZZZ.jpg
Dead Even,Brad Meltzer,1998,3,http://images.amazon.com/images/P/068815090X.01.LZZZZZZZ.jpg
On the Street Where You Live : A Novel,Mary Higgins Clark,2001,8,http://images.amazon.com/images/P/0743206029.01.LZZZZZZZ.jpg
The Pact: A Love Story,Jodi Picoult,1999,0,http://images.amazon.com/images/P/0688170528.01.LZZZZZZZ.jpg
Watership Down,Richard Adams,1974,7,http://images.amazon.com/images/P/0140039589.01.LZZZZZZZ.jpg
The Wasp Factory,Iain Banks,0,10,http://images.amazon.com/images/P/0349101779.01.LZZZZZZZ.jpg
The Bluest Eye,Toni Morrison,2000,0,http://images.amazon.com/images/P/0375411550.01.LZZZZZZZ.jpg
The Survivors Club,LISA GARDNER,2003,0,http://images.amazon.com/images/P/0553584510.01.LZZZZZZZ.jpg
All Through the Night (Holiday Classics),Mary Higgins Clark,1999,8,http://images.amazon.com/images/P/0671027123.01.LZZZZZZZ.jpg
Sick Puppy,Carl Hiaasen,2001,0,http://images.amazon.com/images/P/0446604666.01.LZZZZZZZ.jpg
A Passage to India,E.M. Forster,1965,8,http://images.amazon.com/images/P/0156711427.01.LZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,2001,8,http://images.amazon.com/images/P/0618129030.01.LZZZZZZZ.jpg
Low Country,Anne Rivers Siddons,1999,0,http://images.amazon.com/images/P/0061093327.01.LZZZZZZZ.jpg
Nerd in Shining Armor,Vicki Lewis Thompson,2003,8,http://images.amazon.com/images/P/0440241162.01.LZZZZZZZ.jpg
Private Scandals,Nora Roberts,1994,0,http://images.amazon.com/images/P/0515114006.01.LZZZZZZZ.jpg
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,0,http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg
Interpreter of Maladies,Jhumpa Lahiri,1999,0,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg
Dave Barry in Cyberspace,Dave Barry,1997,5,http://images.amazon.com/images/P/0449912302.01.LZZZZZZZ.jpg
Salem Falls,Jodi Picoult,2002,9,http://images.amazon.com/images/P/0743418719.01.LZZZZZZZ.jpg
Outlander,Diana Gabaldon,1998,7,http://images.amazon.com/images/P/0385319959.01.LZZZZZZZ.jpg
A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001,0,http://images.amazon.com/images/P/0743224574.01.LZZZZZZZ.jpg
My Dream of You,Nuala O'Faolain,2001,2,http://images.amazon.com/images/P/1573221775.01.LZZZZZZZ.jpg
The Sum of All Fears,Tom Clancy,2002,0,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg
WAITING TO EXHALE,Terry McMillan,1993,0,http://images.amazon.com/images/P/0671864173.01.LZZZZZZZ.jpg
I'm Not Really Here,Tim Allen,1997,0,http://images.amazon.com/images/P/0786889322.01.LZZZZZZZ.jpg
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,6,http://images.amazon.com/images/P/051513287X.01.LZZZZZZZ.jpg
Sun Also Rises,Ernest Hemingway,1995,0,http://images.amazon.com/images/P/0684800713.01.LZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002,7,http://images.amazon.com/images/P/0312265859.01.LZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,10,http://images.amazon.com/images/P/0439139600.01.LZZZZZZZ.jpg
Bloodstream,Tess Gerritsen,1999,8,http://images.amazon.com/images/P/0671016768.01.LZZZZZZZ.jpg
Bitter Harvest,Ann Rule,1999,7,http://images.amazon.com/images/P/0671868691.01.LZZZZZZZ.jpg
Storming Heaven,Dale Brown,2002,0,http://images.amazon.com/images/P/0425147231.01.LZZZZZZZ.jpg
Carter Beats the Devil,Glen Gold,2002,8,http://images.amazon.com/images/P/0786886323.01.LZZZZZZZ.jpg
Love,TONI MORRISON,2003,8,http://images.amazon.com/images/P/0375409440.01.LZZZZZZZ.jpg
The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,7,http://images.amazon.com/images/P/0380730847.01.LZZZZZZZ.jpg
Total Recall: A V.I. Warshawski Novel,Sara Paretsky,2001,7,http://images.amazon.com/images/P/0385313667.01.LZZZZZZZ.jpg
P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,7,http://images.amazon.com/images/P/0399147195.01.LZZZZZZZ.jpg
If Looks Could Kill,Kate White,2003,8,http://images.amazon.com/images/P/044661257X.01.LZZZZZZZ.jpg
The Robber Bride,Margaret Atwood,1995,9,http://images.amazon.com/images/P/0553569058.01.LZZZZZZZ.jpg
The Talented Mr. Ripley (Vintage Crime/Black Lizard),Patricia Highsmith,1992,0,http://images.amazon.com/images/P/0679742298.01.LZZZZZZZ.jpg
A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,0,http://images.amazon.com/images/P/0345425707.01.LZZZZZZZ.jpg
The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,8,http://images.amazon.com/images/P/0446610542.01.LZZZZZZZ.jpg
"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,0,http://images.amazon.com/images/P/0020442203.01.LZZZZZZZ.jpg
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,0,http://images.amazon.com/images/P/006016848X.01.LZZZZZZZ.jpg
Young Wives,Olivia Goldsmith,2000,0,http://images.amazon.com/images/P/0060175532.01.LZZZZZZZ.jpg
After All These Years,Susan Isaacs,1994,0,http://images.amazon.com/images/P/0061091790.01.LZZZZZZZ.jpg
Fault Lines,Anne Rivers Siddons,1996,0,http://images.amazon.com/images/P/0061093343.01.LZZZZZZZ.jpg
Peachtree Road,Anne Rivers Siddons,1998,0,http://images.amazon.com/images/P/0061097233.01.LZZZZZZZ.jpg
Up Island: A Novel,Anne Rivers Siddons,1998,0,http://images.amazon.com/images/P/006109921X.01.LZZZZZZZ.jpg
Little House in the Big Woods,Laura Ingalls Wilder,1953,0,http://images.amazon.com/images/P/0064400018.01.LZZZZZZZ.jpg
Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,0,http://images.amazon.com/images/P/0064400581.01.LZZZZZZZ.jpg
"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,0,http://images.amazon.com/images/P/0064471047.01.LZZZZZZZ.jpg
Portrait in Sepia,Isabel Allende,2001,0,http://images.amazon.com/images/P/0066211611.01.LZZZZZZZ.jpg
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,0,http://images.amazon.com/images/P/0140177396.01.LZZZZZZZ.jpg
Wobegon Boy,Garrison Keillor,1998,0,http://images.amazon.com/images/P/0140274782.01.LZZZZZZZ.jpg
James and the Giant Peach,Roald Dahl,1988,0,http://images.amazon.com/images/P/0140328718.01.LZZZZZZZ.jpg
The Little Prince,Antoine de Saint-ExupÃÂ©ry,1968,0,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
Coming Home,Rosamunde Pilcher,1996,0,http://images.amazon.com/images/P/0312958129.01.LZZZZZZZ.jpg
The Shell Seekers (Shell Seekers),Rosamunde Pilcher,1997,0,http://images.amazon.com/images/P/0312961324.01.LZZZZZZZ.jpg
Robert Ludlum's The Cassandra Compact (A Covert-One Novel),Robert Ludlum,2002,0,http://images.amazon.com/images/P/0312981589.01.LZZZZZZZ.jpg
Saucer,Stephen Coonts,2003,0,http://images.amazon.com/images/P/0312983212.01.LZZZZZZZ.jpg
Elfstones of Shannara,Terry Brooks,1990,0,http://images.amazon.com/images/P/0345285549.01.LZZZZZZZ.jpg
Friday,Robert Heinlein,1988,0,http://images.amazon.com/images/P/034530988X.01.LZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,0,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
Sword of Shannara,Terry Brooks,1995,0,http://images.amazon.com/images/P/0345314255.01.LZZZZZZZ.jpg
Beloved,BERTRICE SMALL,1985,0,http://images.amazon.com/images/P/0345327853.01.LZZZZZZZ.jpg
The Black Unicorn (Magic Kingdom of Landover Novel),Terry Brooks,1990,0,http://images.amazon.com/images/P/0345335287.01.LZZZZZZZ.jpg
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,0,http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg
The Power of One,Bryce Courtenay,1992,0,http://images.amazon.com/images/P/0345359925.01.LZZZZZZZ.jpg
Foucault's Pendulum,Umberto Eco,1990,0,http://images.amazon.com/images/P/0345368754.01.LZZZZZZZ.jpg
Remember,Barbara Taylor Bradford,1994,0,http://images.amazon.com/images/P/0345379365.01.LZZZZZZZ.jpg
Degree of Guilt,Richard North Patterson,1995,0,http://images.amazon.com/images/P/034538184X.01.LZZZZZZZ.jpg
Icebound,Dean R. Koontz,1995,0,http://images.amazon.com/images/P/0345384350.01.LZZZZZZZ.jpg
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,0,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg
The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,0,http://images.amazon.com/images/P/034538475X.01.LZZZZZZZ.jpg
Primal Fear,William Diehl,1996,0,http://images.amazon.com/images/P/0345388771.01.LZZZZZZZ.jpg
The Genesis Code,John Case,1998,0,http://images.amazon.com/images/P/0345422317.01.LZZZZZZZ.jpg
"Another City, Not My Own: A Novel in the Form of a Memoir",Dominick Dunne,1999,0,http://images.amazon.com/images/P/0345430514.01.LZZZZZZZ.jpg
Rough Justice,Janine Ellis,1980,0,http://images.amazon.com/images/P/0373023308.01.LZZZZZZZ.jpg
Legacy,Jayne Ann Krentz,2001,0,http://images.amazon.com/images/P/0373834969.01.LZZZZZZZ.jpg
A Widow for One Year : A Novel,JOHN IRVING,1998,0,http://images.amazon.com/images/P/0375501371.01.LZZZZZZZ.jpg
Ellen Foster,Kaye Gibbons,1997,0,http://images.amazon.com/images/P/0375703055.01.LZZZZZZZ.jpg
Waiting (Vintage International),Ha Jin,2000,0,http://images.amazon.com/images/P/0375706410.01.LZZZZZZZ.jpg
The True Confessions of Charlotte Doyle (rack),Avi,1992,0,http://images.amazon.com/images/P/0380714752.01.LZZZZZZZ.jpg
American Gods,Neil Gaiman,2002,0,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
To Be the Best,Barbara Taylor Bradford,1988,0,http://images.amazon.com/images/P/0385245793.01.LZZZZZZZ.jpg
The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,0,http://images.amazon.com/images/P/0385265700.01.LZZZZZZZ.jpg
No Greater Love,Danielle Steel,1991,0,http://images.amazon.com/images/P/0385299095.01.LZZZZZZZ.jpg
Mixed Blessings,Danielle Steel,1992,0,http://images.amazon.com/images/P/0385299109.01.LZZZZZZZ.jpg
Jewels,Danielle Steel,1992,0,http://images.amazon.com/images/P/0385304900.01.LZZZZZZZ.jpg
Wings,DANIELLE STEEL,1994,0,http://images.amazon.com/images/P/0385306059.01.LZZZZZZZ.jpg
